S-no,Agency,Date of announcement,State,Date of running,News Headings Short,News heading,Matching keyword,links,Relevancy
1,DOC,02-09-2023,Puerto Rico,3/30/2023,Biden-Harris Administration Announces Nearly $3 Million in an Internet for All Grant to Universidad ...more,Biden-Harris Administration Announces Nearly $3 Million in an Internet for All Grant to Universidad del Sagrado Corazón in Puerto Rico,internet,https://www.commerce.gov/news/press-releases/2023/02/biden-harris-administration-announces-nearly-3-million-internet-all,Relevant
2,DOC,1/30/2023,Others,3/30/2023,Biden-Harris Administration Announces More Than $33.5 Million in Internet for All Grants to 12 Minor...more,Biden-Harris Administration Announces More Than $33.5 Million in Internet for All Grants to 12 Minority-Serving Colleges and Universities,grant,https://www.commerce.gov/news/press-releases/2023/01/biden-harris-administration-announces-more-335-million-internet-all,Relevant
3,Broadband Money,3/21/2023,Arizona,3/30/2023,"How Common Sense Media deployed activism, media, and a key partnership to drive ACP Adoption in Ariz...more","How Common Sense Media deployed activism, media, and a key partnership to drive ACP Adoption in Arizona
Announcement
ACP
Arizona
March 21, 2023
A Common Sense Media pilot campaign in Phoenix, Arizona, quadrupled enrollment in the Affordable Connectivity Program to 8,500 households a month in a limited amount of time. Here's how they did it.
Broadband.money",broadband,https://broadband.money/blog-categories/announcement,Irrelevant
4,Broadband Money,02-02-2023,Others,3/30/2023,"What the FCC's New Broadband ‘Nutrition Labels’ Require
Broadband Data
February 02, 2023
Providers n...more","What the FCC's New Broadband ‘Nutrition Labels’ Require
Broadband Data
February 02, 2023
Providers need to inform new customers what they're receiving for their subscriptions. Here are the facts.
Broadband.money",broadband,https://broadband.money/blog-categories/broadband-data,Irrelevant
5,Broadband Money,1/25/2023,Washington,3/30/2023,"Report: Private Telcos Thwart WA Public Utilities’ Plans For Rural Broadband
Broadband Audit
Washing...more","Report: Private Telcos Thwart WA Public Utilities’ Plans For Rural Broadband
Broadband Audit
Washington
January 25, 2023
Residents of Elma in Washington State struggle to access the internet. Our broadband audit quantifies the town's lack of connectivity.
Broadband.money",internet,https://broadband.money/blog-categories/broadband-audit,Irrelevant
6,Broadband Money,1/20/2023,Michigan,3/30/2023,"Detroit mayor sounds alarm on rescue plan funds being clawed back
Cities
Broadband Data
Broadband Ma...more","Detroit mayor sounds alarm on rescue plan funds being clawed back
Cities
Broadband Data
Broadband Mapping
Michigan
January 20, 2023
Detroit's mayor warns his peers to mind the fallout from Feds' fight over the debt ceiling
Broadband.money",broadband,https://broadband.money/blog-categories/cities,Irrelevant
7,Broadband Money,1/17/2023,Others,3/30/2023,"Introducing: Where's the Funding?
Broadband Funding
Announcement
Event
January 17, 2023
If you're ap...more","Introducing: Where's the Funding?
Broadband Funding
Announcement
Event
January 17, 2023
If you're applying for an IIJA BEAD grant, you should attend our webinar new ""Where’s The Funding?"" series, hosted by Gary Bolton, President and CEO of the Fiber Broadband Association.
Jase Wilson",rural broadband,https://broadband.money/blog-categories/broadband-funding,Relevant
8,Broadband Money,01-05-2023,Others,3/30/2023,"FCC broadband data challenges particularly complicated for Tribal nations
January 05, 2023
Providing...more","FCC broadband data challenges particularly complicated for Tribal nations
January 05, 2023
Providing granular challenge data to the FCC, data the agency would legally own, raises concerns for some Tribal leaders.
Broadband.money",broadband,https://broadband.money/broadband-grant-expert/broadband-money,Irrelevant
9,Broadband Money,12/22/2022,Mississippi,3/30/2023,"Mississippi’s Broadband Director Sally Doty uses data, charm, and legwork to expose broadband inequi...more","Mississippi’s Broadband Director Sally Doty uses data, charm, and legwork to expose broadband inequities
Director Spotlight
Broadband Mapping
Mississippi
December 22, 2022
BEAM Director Sally Doty is using old fashioned charm and modern technology to get everyone in her state wired.
Broadband.money",broadband,https://broadband.money/blog-categories/director-spotlight,Irrelevant
10,Broadband Money,12/21/2022,California,3/30/2023,"California receives nearly $9M for BEAD funding and digital equity planning
BEAD
Broadband Funding
C...more","California receives nearly $9M for BEAD funding and digital equity planning
BEAD
Broadband Funding
California
December 21, 2022
California receives an additional $9 million for Broadband Equity, Access, and Deployment Program (BEAD) program grant funding and digital equity
Broadband.money",grant,https://broadband.money/blog-categories/bead,Relevant
11,NTIA,3/23/2023,Minnesota,3/30/2023,Biden-Harris Administration Announces More Than $25.7 Million in High-Speed Internet Grants to Triba...more,Biden-Harris Administration Announces More Than $25.7 Million in High-Speed Internet Grants to Tribal Lands in Minnesota and New Mexico,internet,https://ntia.gov/press-release/2023/biden-harris-administration-announces-more-257-million-high-speed-internet,Relevant
12,NTIA,2/27/2023,Others,3/30/2023,Biden-Harris Administration Announces More Than $175 Million in Internet for All Grants to 61 Minori...more,Biden-Harris Administration Announces More Than $175 Million in Internet for All Grants to 61 Minority-Serving Colleges and Universities,grant,https://ntia.gov/press-release/2023/biden-harris-administration-announces-more-175-million-internet-all-grants-61,Relevant
13,NTIA,1/31/2023,Others,3/30/2023,"Biden-Harris Administration Announces $500,000 in High-Speed Internet Grant to Passamaquoddy at Plea...more","Biden-Harris Administration Announces $500,000 in High-Speed Internet Grant to Passamaquoddy at Pleasant Point",grant,https://ntia.gov/press-release/2023/biden-harris-administration-announces-500000-high-speed-internet-grant,Relevant
14,NTIA,12/23/2022,Massachusetts,3/30/2023,Biden-Harris Administration Awards More Than $6 Million to Massachusetts in ‘Internet for All’ Plann...more,Biden-Harris Administration Awards More Than $6 Million to Massachusetts in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-6-million-massachusetts-internet-all,Relevant
15,NTIA,12/22/2022,New Mexico,3/30/2023,Biden-Harris Administration Awards More Than $5.7 Million to New Mexico in ‘Internet for All’ Planni...more,Biden-Harris Administration Awards More Than $5.7 Million to New Mexico in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-57-million-new-mexico-internet-all,Relevant
16,NTIA,12/22/2022,Kansas,3/30/2023,Biden-Harris Administration Awards Nearly $5.7 Million to Kansas in ‘Internet for All’ Planning Gran...more,Biden-Harris Administration Awards Nearly $5.7 Million to Kansas in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-nearly-57-million-kansas-internet-all,Relevant
17,NTIA,12/20/2022,California,3/30/2023,Biden-Harris Administration Awards Nearly $9 Million to California in ‘Internet for All’ Planning Gr...more,Biden-Harris Administration Awards Nearly $9 Million to California in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-nearly-9-million-california-internet-all,Relevant
18,NTIA,12/20/2022,New Hampshire,3/30/2023,Biden-Harris Administration Awards More Than $5.5 Million to New Hampshire in ‘Internet for All’ Pla...more,Biden-Harris Administration Awards More Than $5.5 Million to New Hampshire in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-55-million-new-hampshire-internet-all,Relevant
19,NTIA,12/20/2022,Wyoming,3/30/2023,Biden-Harris Administration Awards More Than $5.4 Million to Wyoming in ‘Internet for All’ Planning ...more,Biden-Harris Administration Awards More Than $5.4 Million to Wyoming in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-54-million-wyoming-internet-all-planning,Relevant
20,NTIA,12/20/2022,Oregon,3/30/2023,Biden-Harris Administration Awards More Than $5.7 Million to Oregon in ‘Internet for All’ Planning G...more,Biden-Harris Administration Awards More Than $5.7 Million to Oregon in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-57-million-oregon-internet-all-planning,Relevant
21,NTIA,12/20/2022,Nevada,3/30/2023,Biden-Harris Administration Awards More Than $5.7 Million to Nevada in ‘Internet for All’ Planning G...more,Biden-Harris Administration Awards More Than $5.7 Million to Nevada in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-57-million-nevada-internet-all-planning,Relevant
22,NTIA,12/20/2022,Texas,3/30/2023,Biden-Harris Administration Awards More Than $8.1 Million to Texas in ‘Internet for All’ Planning Gr...more,Biden-Harris Administration Awards More Than $8.1 Million to Texas in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-81-million-texas-internet-all-planning,Relevant
23,NTIA,12/20/2022,New Jersey,3/30/2023,Biden-Harris Administration Awards More Than $6 Million to New Jersey in ‘Internet for All’ Planning...more,Biden-Harris Administration Awards More Than $6 Million to New Jersey in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-6-million-new-jersey-internet-all,Relevant
24,NTIA,12/20/2022,Oklahoma,3/30/2023,Biden-Harris Administration Awards More Than $5.8 Million to Oklahoma in ‘Internet for All’ Planning...more,Biden-Harris Administration Awards More Than $5.8 Million to Oklahoma in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-58-million-oklahoma-internet-all,Relevant
25,NTIA,12/20/2022,Vermont,3/30/2023,Biden-Harris Administration Awards More Than $5.5 Million to Vermont in ‘Internet for All’ Planning ...more,Biden-Harris Administration Awards More Than $5.5 Million to Vermont in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-55-million-vermont-internet-all-planning,Relevant
26,NTIA,12/20/2022,Indiana,3/30/2023,Biden-Harris Administration Awards More Than $5.8 Million to Indiana in ‘Internet for All’ Planning ...more,Biden-Harris Administration Awards More Than $5.8 Million to Indiana in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-58-million-indiana-internet-all-planning,Relevant
27,NTIA,12/20/2022,Illinois,3/30/2023,Biden-Harris Administration Awards More Than $6.5 Million to Illinois in ‘Internet for All’ Planning...more,Biden-Harris Administration Awards More Than $6.5 Million to Illinois in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-65-million-illinois-internet-all,Relevant
28,NTIA,12/19/2022,Others,3/30/2023,Biden-Harris Administration Announces More Than $36 Million in High-Speed Internet Grants for Tribal...more,Biden-Harris Administration Announces More Than $36 Million in High-Speed Internet Grants for Tribal Lands,grant,https://ntia.gov/press-release/2022/biden-harris-administration-announces-more-36-million-high-speed-internet-grants,Relevant
29,NTIA,12/19/2022,Michigan,3/30/2023,Biden-Harris Administration Awards More Than $6.3 Million to Michigan in ‘Internet for All’ Planning...more,Biden-Harris Administration Awards More Than $6.3 Million to Michigan in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2022/biden-harris-administration-awards-more-63-million-michigan-internet-all,Relevant
30,NTIA,12/16/2022,Others,3/30/2023,Biden-Harris Administration Announces More Than $18.5 Million in Internet for All Grants to Five Min...more,Biden-Harris Administration Announces More Than $18.5 Million in Internet for All Grants to Five Minority-Serving Colleges and Universities,grant,https://ntia.gov/press-release/2022/biden-harris-administration-announces-more-185-million-internet-all-grants-five,Relevant
31,DOC,3/29/2023,New York,3/30/2023,"Treasury Department Announces New York’s Capital Projects Fund Award, Connecting 100,000 Low-Income ...more","Treasury Department Announces New York’s Capital Projects Fund Award, Connecting 100,000 Low-Income Housing Units to Affordable, High-Speed Internet As Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1374,Relevant
32,USDA,2/16/2023,Illinois,3/30/2023,"Biden-Harris Administration Invests $63 Million in High-Speed Internet for People in Rural Illinois,...more","Biden-Harris Administration Invests $63 Million in High-Speed Internet for People in Rural Illinois, Michigan, Minnesota and Mississippi",internet,https://www.usda.gov/media/press-releases/2023/02/16/biden-harris-administration-invests-63-million-high-speed-internet,Relevant
33,USDA,1/31/2023,Others,3/30/2023,"USDA Forest Service Accepting Grant Applications for Wood Innovations Projects, Community Wood Energ...more","USDA Forest Service Accepting Grant Applications for Wood Innovations Projects, Community Wood Energy Facilities",grant,https://www.usda.gov/media/press-releases/2023/01/31/usda-forest-service-accepting-grant-applications-wood-innovations,Irrelevant
34,USDA,1/26/2023,Others,3/30/2023,USDA Announces Grants for Urban Agriculture and Innovative Production,USDA Announces Grants for Urban Agriculture and Innovative Production,grant,https://www.usda.gov/media/press-releases/2023/01/26/usda-announces-grants-urban-agriculture-and-innovative-production,Irrelevant
35,NCTA,3/29/2023,Others,3/30/2023,Broadband Stats: Connecting More People in More Places,Broadband Stats: Connecting More People in More Places,broadband,https://www.ncta.com/whats-new/broadband-stats-connecting-more-people-in-more-places,Irrelevant
36,NCTA,3/24/2023,Others,3/30/2023,"Internet Trends, Fueled by Broadband, That Continue to Soar","Internet Trends, Fueled by Broadband, That Continue to Soar",internet,https://www.ncta.com/whats-new/internet-trends-fueled-by-broadband-that-continue-soar,Irrelevant
37,NCTA,3/16/2023,Others,3/30/2023,Broadband Stats: Cable Brings Competition to Mobile Marketplace,Broadband Stats: Cable Brings Competition to Mobile Marketplace,broadband,https://www.ncta.com/whats-new/broadband-stats-cable-brings-competition-mobile-marketplace,Irrelevant
38,NCTA,03-02-2023,Others,3/30/2023,Broadband Stats: Cable’s Network Investment,Broadband Stats: Cable’s Network Investment,broadband,https://www.ncta.com/whats-new/broadband-stats-cables-network-investment,Irrelevant
39,NCTA,03-01-2023,Others,3/30/2023,Three Ways Rural Broadband Is Creating Positive Change,Three Ways Rural Broadband Is Creating Positive Change,broadband,https://www.ncta.com/whats-new/three-ways-rural-broadband-is-creating-positive-change,Irrelevant
40,NCTA,2/15/2023,Others,3/30/2023,Broadband Stats: Global Internet Trends,Broadband Stats: Global Internet Trends,broadband,https://www.ncta.com/whats-new/broadband-stats-global-internet-trends,Irrelevant
41,NCTA,1/20/2023,Others,3/30/2023,2023 Tech Trends and the Broadband Networks That Will Fuel Them,2023 Tech Trends and the Broadband Networks That Will Fuel Them,rural broadband,https://www.ncta.com/whats-new/2023-tech-trends-and-the-broadband-networks-that-will-fuel-them,Irrelevant
42,NCTA,01-11-2023,Others,3/30/2023,FCC Report Shows Cable Broadband Delivers More Than Advertised,FCC Report Shows Cable Broadband Delivers More Than Advertised,internet,https://www.ncta.com/whats-new/fcc-report-shows-cable-broadband-delivers-more-advertised,Irrelevant
43,NCTA,01-05-2023,Others,3/30/2023,Broadband Stats: Gigabit America,Broadband Stats: Gigabit America,broadband,https://www.ncta.com/whats-new/broadband-stats-gigabit-america,Irrelevant
44,NCTA,3/30/2023,Others,3/31/2023,America’s Expanding Cable Broadband Networks: The Midwest,America’s Expanding Cable Broadband Networks: The Midwest,broadband,https://www.ncta.com/whats-new/americas-expanding-cable-broadband-networks-the-midwest,Irrelevant
45,EPA,3/31/2023,California,04-01-2023,EPA Grants Waivers for California’s On-highway Heavy-duty Vehicle and Engine Emission Standards,EPA Grants Waivers for California’s On-highway Heavy-duty Vehicle and Engine Emission Standards,grant,https://www.epa.gov/newsreleases/epa-grants-waivers-californias-highway-heavy-duty-vehicle-and-engine-emission,Irrelevant
46,USDA,04-03-2023,New Mexico,04-04-2023,Biden-Harris Administration Invests $40 Million to Bring High-Speed Internet to People in Rural New ...more,Biden-Harris Administration Invests $40 Million to Bring High-Speed Internet to People in Rural New Mexico,internet,https://www.usda.gov/media/press-releases/2023/04/03/biden-harris-administration-invests-40-million-bring-high-speed,Relevant
47,NCTA,04-06-2023,Others,04-07-2023,What Midco Knows About Building Rural Broadband,What Midco Knows About Building Rural Broadband,broadband,https://www.ncta.com/whats-new/what-midco-knows-about-building-rural-broadband,Relevant
48,DOC,04-10-2023,Pennsylvania,04-11-2023,"Biden-Harris Administration Officials, Senator Casey Announce Approval of Federal Funding to Connect...more","Biden-Harris Administration Officials, Senator Casey Announce Approval of Federal Funding to Connect 44,000 Pennsylvania Homes and Businesses to Affordable, High-Speed Internet as Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1395,Relevant
49,EPA,4/13/2023,Others,4/14/2023,EPA Awards Nearly $1.5M in Research Grants to Reduce U.S. Household Food Waste,EPA Awards Nearly $1.5M in Research Grants to Reduce U.S. Household Food Waste,grant,https://www.epa.gov/newsreleases/epa-awards-nearly-15m-research-grants-reduce-us-household-food-waste-0,Irrelevant
50,DOC,4/13/2023,California,4/14/2023,"Treasury Department Announces Approval of Federal Funding to Connect 127,000 California Homes and Bu...more","Treasury Department Announces Approval of Federal Funding to Connect 127,000 California Homes and Businesses to Affordable, High-Speed Internet as Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1409,Relevant
51,EPA,4/20/2023,Kansas,4/21/2023,"EPA Announces $191 Million WIFIA Loan to Wichita, Kansas to Improve Water Quality in Mississippi Riv...more","EPA Announces $191 Million WIFIA Loan to Wichita, Kansas to Improve Water Quality in Mississippi River Basin",wifi,https://www.epa.gov/newsreleases/epa-announces-191-million-wifia-loan-wichita-kansas-improve-water-quality-mississippi,Irrelevant
52,NCTA,4/21/2023,Others,4/22/2023,How Broadband-Powered Remote Work Is Good for the Environment,How Broadband-Powered Remote Work Is Good for the Environment,broadband,https://www.ncta.com/whats-new/how-broadband-powered-remote-work-is-good-for-the-environment,Irrelevant
53,NTIA,4/25/2023,Others,4/26/2023,Biden-Harris Administration Announces More Than $5.8 Million in Internet for All Grants to Tribal La...more,Biden-Harris Administration Announces More Than $5.8 Million in Internet for All Grants to Tribal Lands,internet,https://ntia.gov/press-release/2023/biden-harris-administration-announces-more-58-million-internet-all-grants-tribal,Relevant
54,NTIA,4/25/2023,Others,4/26/2023,NTIA Releases Proposed Guidance for High-Speed Internet Program’s State Challenge Process,NTIA Releases Proposed Guidance for High-Speed Internet Program’s State Challenge Process,grant,https://ntia.gov/press-release/2023/ntia-releases-proposed-guidance-high-speed-internet-program-s-state-challenge,Relevant
55,NCTA,4/26/2023,Others,4/27/2023,Broadband Stats: Wi-Fi Loves Smart Homes,Broadband Stats: Wi-Fi Loves Smart Homes,broadband,https://www.ncta.com/whats-new/broadband-stats-wi-fi-loves-smart-homes,Irrelevant
56,DOC,4/27/2023,Others,4/28/2023,Treasury Department Announces Approval of Federal Funds to Connect Hawaii Homes and Families to Affo...more,"Treasury Department Announces Approval of Federal Funds to Connect Hawaii Homes and Families to Affordable, High-Speed Internet as Part of President Biden’s Investing in America Agenda",internet,https://home.treasury.gov/news/press-releases/jy1448,Relevant
57,EPA,4/28/2023,Louisiana,4/29/2023,EPA Opens Public Comment on Proposal Granting Louisiana Primacy for Carbon Sequestration and Protect...more,EPA Opens Public Comment on Proposal Granting Louisiana Primacy for Carbon Sequestration and Protection of Drinking Water Sources,grant,https://www.epa.gov/newsreleases/epa-opens-public-comment-proposal-granting-louisiana-primacy-carbon-sequestration-and,Irrelevant
58,NCTA,05-03-2023,Others,05-04-2023,How Does Broadband Enable Rural Communities to Thrive?,How Does Broadband Enable Rural Communities to Thrive?,broadband,https://www.ncta.com/whats-new/how-does-broadband-enable-rural-communities-thrive,Irrelevant
59,Internet for All,05-08-2023,Others,05-09-2023,New Dashboard Highlights Coordinated Federal Investments in High-Speed Internet Programs,New Dashboard Highlights Coordinated Federal Investments in High-Speed Internet Programs,internet,https://www.internet4all.gov/news-media/new-dashboard-highlights-coordinated-federal-investments-high-speed-internet-programs,Relevant
60,NTIA,05-08-2023,Others,05-09-2023,New Dashboard Highlights Coordinated Federal Investments in High-Speed Internet Programs ,New Dashboard Highlights Coordinated Federal Investments in High-Speed Internet Programs ,internet,https://ntia.gov/press-release/2023/new-dashboard-highlights-coordinated-federal-investments-high-speed-internet,Relevant
61,NCTA,05-09-2023,Others,05-12-2023,Broadband Stats: 10G’s Economic Boost,Broadband Stats: 10G’s Economic Boost,broadband,https://www.ncta.com/whats-new/broadband-stats-10gs-economic-boost,Relevant
62,NCTA,05-11-2023,Others,05-12-2023,Realigning Government Support Programs to Bring Broadband to All,Realigning Government Support Programs to Bring Broadband to All,broadband,https://www.ncta.com/whats-new/realigning-government-support-programs-bring-broadband-all,Irrelevant
63,EPA,5/15/2023,Others,5/16/2023,MEDIA ADVISORY: EPA Region 4 Administrator Daniel Blackman to Join Clayton County Public Schools at ...more,MEDIA ADVISORY: EPA Region 4 Administrator Daniel Blackman to Join Clayton County Public Schools at Event Highlighting $400 Million in Grant Funding for Clean School Buses,grant,https://www.epa.gov/newsreleases/media-advisory-epa-region-4-administrator-daniel-blackman-join-clayton-county-public,Irrelevant
64,DOC,5/15/2023,Others,5/16/2023,Treasury Department Announces Awards to Connect More Families and Businesses to High-Speed Internet ...more,Treasury Department Announces Awards to Connect More Families and Businesses to High-Speed Internet as Part of President Biden’s Investing in America Agenda,internet,https://home.treasury.gov/news/press-releases/jy1481,Relevant
65,NCTA,05-05-2023,Others,5/16/2023,Disney's 'American Born Chinese' Puts a New Spin on the Immigrant Child Experience,Disney's 'American Born Chinese' Puts a New Spin on the Immigrant Child Experience,grant,https://www.ncta.com/whats-new/disneys-american-born-chinese-puts-a-new-spin-on-the-immigrant-child-experience,Irrelevant
66,EPA,5/18/2023,Others,5/23/2023,EPA Region 4 Administrator Daniel Blackman Joins Clayton County Officials to Announce $400 Million i...more,EPA Region 4 Administrator Daniel Blackman Joins Clayton County Officials to Announce $400 Million in Grant Funding for Clean School Buses,grant,https://www.epa.gov/newsreleases/epa-region-4-administrator-daniel-blackman-joins-clayton-county-officials-announce-400,Irrelevant
67,EPA,5/16/2023,California,5/23/2023,EPA Announces $128 million WIFIA loan to Improve Drinking Water Reliability in Drought-prone Santa C...more,"EPA Announces $128 million WIFIA loan to Improve Drinking Water Reliability in Drought-prone Santa Cruz, California",wifi,https://www.epa.gov/newsreleases/epa-announces-128-million-wifia-loan-improve-drinking-water-reliability-drought-prone,Irrelevant
68,Internet for All,5/17/2023,Others,5/23/2023,Biden-Harris Administration Announces Nearly $5 Million in Internet for All Grants to Tribal Lands,Biden-Harris Administration Announces Nearly $5 Million in Internet for All Grants to Tribal Lands,internet,https://www.internet4all.gov/news-media/biden-harris-administration-announces-nearly-5-million-internet-all-grants-tribal-lands,Relevant
69,Internet for All,5/17/2023,Virgin Islands,5/23/2023,"Biden-Harris Administration Awards $150,000 to U.S. Virgin Islands for Digital Equity Planning Grant","Biden-Harris Administration Awards $150,000 to U.S. Virgin Islands for Digital Equity Planning Grant",grant,https://www.internet4all.gov/news-media/biden-harris-administration-awards-150000-us-virgin-islands-digital-equity-planning-0,Relevant
70,NTIA,5/16/2023,Others,5/23/2023,Biden-Harris Administration Awards $1.4 Million to the Northern Mariana Islands in ‘Internet for All...more,Biden-Harris Administration Awards $1.4 Million to the Northern Mariana Islands in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2023/biden-harris-administration-awards-14-million-northern-mariana-islands-internet,Relevant
71,NTIA,5/16/2023,Others,5/23/2023,Biden-Harris Administration Awards Nearly $1.4 Million to American Samoa in ‘Internet for All’ Plann...more,Biden-Harris Administration Awards Nearly $1.4 Million to American Samoa in ‘Internet for All’ Planning Grants,grant,https://ntia.gov/press-release/2023/biden-harris-administration-awards-nearly-14-million-american-samoa-internet-all,Relevant
72,NTIA,5/16/2023,Others,5/23/2023,Biden-Harris Administration Awards $1.4 Million to Guam in ‘Internet for All’ Planning Grants,Biden-Harris Administration Awards $1.4 Million to Guam in ‘Internet for All’ Planning Grants,internet,https://ntia.gov/press-release/2023/biden-harris-administration-awards-14-million-guam-internet-all-planning-grants,Relevant
